Community,Occurrence Births,Resident Births,"Low Birthweight (Less than 2,500 grams (5.5 lbs.)","Preterm
 (<37 weeks gestation)
",Teen Births (15-19 years)
Heath,0,3,--,--,0
Hingham,1,227,13,17,--
Hinsdale,0,14,--,--,--
Holbrook,1,113,8,9,--
Holden,2,181,9,11,--
Holland,0,32,--,--,0
Holliston,1,142,9,7,--
Holyoke,449,525,33,43,61
Hopedale,0,42,--,--,--
Hopkinton,3,132,9,8,0
Hubbardston,0,33,--,--,0
Hudson,1,213,9,20,--
Hull,0,53,--,--,--
Huntington,0,20,--,--,0
Ipswich,1,98,6,7,2
Kingston,2,137,10,13,0
Lakeville,0,94,8,6,--
Lancaster,3,52,5,7,--
Lanesborough,1,16,--,--,0
Lawrence,1425,1406,139,137,110
Lee,0,29,--,--,--
Leicester,0,97,8,8,--
Lenox,0,22,--,--,0
Leominster,846,473,28,32,17
Leverett,3,12,0,0,0
Lexington,1,167,17,19,0
Leyden,0,5,0,0,0
Lincoln,1,84,--,5,0
Littleton,1,83,5,5,0
Longmeadow,0,106,7,10,--
Lowell,2409,1568,128,126,84
Ludlow,1,133,9,12,--
Lunenburg,0,94,8,8,--
Lynn,3,1530,125,132,104
Lynnfield,2,131,8,10,0
Malden,2,884,69,66,11
Manchester-by-the-Sea,0,15,0,0,0
Mansfield,0,234,16,16,--
Marblehead,1,138,9,10,0
Marion,0,19,0,0,--
Marlborough,0,455,22,34,16
Marshfield,1,200,10,11,0
Mashpee,0,99,5,--,--
Mattapoisett,0,38,--,5,0
Maynard,2,121,--,5,0
Medfield,1,115,--,8,0
Medford,0,732,51,64,6
Medway,2,101,9,11,--
Melrose,957,377,15,25,--
Mendon,2,38,--,--,0
Merrimac,1,56,--,--,0
Methuen,1065,568,32,42,18
Middleborough,3,218,15,19,10
Middlefield,0,2,0,--,0
Middleton,1,58,6,7,0
Milford,981,365,24,36,12
Millbury,1,117,8,12,--
Millis,0,76,5,8,--
Millville,1,35,5,6,0
Milton,1,262,14,20,0
Monroe,0,2,--,--,0
Monson,1,67,7,--,--
Montague,2,96,5,6,--
Monterey,1,5,0,0,0
Montgomery,0,5,0,0,0
Mount Washington,0,1,0,0,0
Nahant,0,19,--,--,0
Nantucket,147,153,12,8,--
Natick,4,415,29,40,--
Needham,4,256,16,18,--
New Ashford,0,0,0,0,0
New Bedford,1486,1307,110,113,97
New Braintree,0,7,--,--,0
New Marlborough,0,8,--,0,0
New Salem,1,3,0,0,--
Newbury,2,44,--,--,0
Newburyport,711,132,17,19,--
Newton,4444,771,47,45,--
Norfolk,1,114,5,7,0
North Adams,2,117,10,10,9
North Andover,0,313,32,38,--
North Attleborough,1,279,10,23,7
North Brookfield,1,44,5,--,--
North Reading,1,162,12,16,0
Northampton,620,186,8,12,--
Northborough,1,137,9,16,0
Northbridge,3,208,25,21,10
Northfield,1,19,0,--,0
Norton,0,154,20,19,--
Norwell,0,107,--,--,--
Norwood,454,412,30,31,--
Oak Bluffs,124,51,--,5,--
Oakham,0,12,0,--,0
Orange,0,78,7,--,6
Orleans,1,31,--,--,--
Otis,0,8,0,0,0
Oxford,1,113,10,13,--
Palmer,2,126,--,7,6
Paxton,0,28,0,--,--
Peabody,2,563,41,43,6
Pelham,0,7,0,0,0
Pembroke,0,161,5,10,0
Pepperell,0,106,7,6,--
Peru,0,6,--,--,--
Petersham,0,9,--,--,0
Phillipston,1,15,0,0,0
Pittsfield,807,461,34,29,17
Plainfield,0,3,0,0,0
Plainville,0,92,8,9,--
Plymouth,712,507,34,43,12
Plympton,0,29,--,--,0
Princeton,0,25,--,--,--
Provincetown,0,15,--,--,0
Quincy,7,1207,87,87,13
Randolph,1,360,48,51,6
Raynham,0,123,--,5,--
Reading,0,267,13,15,0
Rehoboth,1,72,5,--,--
Revere,2,781,62,70,17
Richmond,0,4,--,--,0
Rochester,0,39,0,--,0
Rockland,2,191,14,13,--
Rockport,0,40,5,--,0
Rowe,0,0,0,0,0
Rowley,0,49,--,--,--
Royalston,0,11,--,0,0
Russell,2,18,0,--,--
Rutland,0,80,--,6,--
Salem,1327,459,25,30,10
Salisbury,0,62,--,--,--
Sandisfield,1,4,0,0,0
Sandwich,1,136,10,11,--
Saugus,0,253,20,21,--
Savoy,0,2,0,0,0
Scituate,1,166,--,7,0
Seekonk,0,130,8,10,--
Sharon,0,140,6,8,0
Sheffield,0,34,--,--,--
Shelburne,1,14,--,0,--
Sherborn,0,25,0,--,0
Shirley,0,48,--,5,--
Shrewsbury,2,328,18,25,--
Shutesbury,1,12,--,--,0
Somerset,0,117,--,5,--
Somerville,6,876,91,90,12
South Hadley,0,138,5,8,--
Southampton,0,45,--,--,--
Southborough,1,93,10,12,0
Southbridge,262,229,19,28,21
Southwick,0,74,5,7,--
Spencer,1,119,12,11,5
Springfield,5310,2199,211,231,215
Sterling,1,58,5,5,0
Stockbridge,0,4,0,0,0
Stoneham,0,239,15,18,--
Stoughton,2,297,13,20,--
Stow,1,65,--,--,--
Sturbridge,0,96,9,11,5
Sudbury,1,131,11,10,0
Sunderland,0,24,--,--,--
Sutton,1,59,--,--,0
Swampscott,0,148,16,20,--
Swansea,0,126,12,-,--
Taunton,293,612,61,67,21
Templeton,0,62,--,--,--
Tewksbury,2,294,25,28,7
Tisbury,0,29,--,--,0
Tolland,0,3,0,--,0
Topsfield,0,41,5,8,0
Townsend,0,71,--,2,0
Truro,0,10,0,0,--
Tyngsborough,0,114,5,6,5
Tyringham,0,2,0,0,0
Upton,0,51,--,5,--
Uxbridge,1,134,5,8,--
Wakefield,1,312,20,25,--
Wales,0,14,0,--,--
Walpole,0,297,27,26,--
Waltham,4,805,61,59,--
Ware,0,85,5,5,--
Wareham,424,180,15,17,13
Warren,0,49,--,--,0
Warwick,0,3,0,0,0
Washington,0,3,0,0,0
Watertown,3,471,24,18,--
Wayland,0,127,7,10,--
Webster,0,187,11,17,12
Wellesley,1,208,21,20,0
Wellfleet,0,14,0,0,0
Wendell,1,12,0,0,0
Wenham,0,23,0,0,0
West Boylston,0,50,--,--,0
West Bridgewater,1,78,--,--,--
West Brookfield,0,28,--,--,0
West Newbury,0,29,7,5,0
West Springfield,1,355,22,32,20
West Stockbridge,1,9,--,--,0
West Tisbury,4,21,0,0,0
Westborough,1,238,22,24,--
Westfield,2,363,26,34,11
Westford,1,147,11,11,--
Westhampton,0,12,0,--,0
Westminster,3,62,--,5,0
Weston,0,53,--,--,0
Westport,1,103,8,6,--
Westwood,0,117,6,--,0
Weymouth,3408,639,46,45,8
Whately,0,7,0,0,0
Whitman,1,148,--,8,--
Wilbraham,2,98,5,8,--
Williamsburg,0,13,0,0,--
Williamstown,0,31,0,--,0
Wilmington,0,232,14,20,5
Winchendon,1,99,--,--,--
Winchester,2037,190,7,8,0
Windsor,1,5,0,0,0
Winthrop,2,163,7,9,--
Woburn,0,483,34,43,--
Worcester,5846,2403,232,255,130
Worthington,1,7,0,0,0
Wrentham,1,95,6,8,--
Yarmouth,0,211,11,11,--
